Date,Open,High,Low,Close,Volume
03-03-2020,73.69433636,73.77441717,69.35765634,70.21189117,319475600
04-03-2020,71.93976834,73.62881223,71.13650139,73.46864319,219178400
05-03-2020,71.7164772,72.69447302,70.71907032,71.08551788,187572800
06-03-2020,68.43549929,70.57593052,68.24863907,70.1415329,226176800
09-03-2020,64.00660832,67.48662549,63.824599,64.59389496,286744800
10-03-2020,67.25604691,69.51295815,65.37042675,69.24600983,285290000
11-03-2020,67.3167436,68.24620108,65.97472138,66.84108734,255598800
12-03-2020,62.11126834,65.52333474,60.18439635,60.24021149,418474000
13-03-2020,64.28325789,67.93072376,61.3856657,67.45749664,370732000
16-03-2020,58.71619414,62.87328366,58.24297074,58.77929306,322423600
17-03-2020,60.06548484,62.5165408,57.85467875,61.36381912,324056000
18-03-2020,58.18714955,60.66975488,57.54404792,59.8616333,300233600
19-03-2020,60.0363656,61.35896558,58.87636012,59.40297318,271857200
20-03-2020,59.98539502,61.11385462,55.33081345,55.63173676,401693200
23-03-2020,55.35024256,55.45216732,51.59599706,54.44990158,336752800
24-03-2020,57.35961333,60.10916707,56.85969514,59.91259766,287531200
25-03-2020,60.85177579,62.67186878,59.28649655,59.58256531,303602000
26-03-2020,59.82523808,62.7762124,59.78640855,62.7179718,252087200
27-03-2020,61.33712026,62.09427759,59.95385063,60.12129974,204216800
30-03-2020,60.84933827,62.00934368,60.52414557,61.83703995,167976400
31-03-2020,62.02876241,63.70081709,61.1551164,61.71084976,197002000
01-04-2020,59.82037324,60.35912091,58.0318302,58.46379852,176218400
02-04-2020,58.32547716,59.4927627,57.4906607,59.43937302,165934000
03-04-2020,58.92247157,59.62623931,57.99301041,58.58514786,129880000
06-04-2020,60.88816303,63.85127172,60.5192936,63.695961,201820400
07-04-2020,65.71747297,65.93589,62.85386361,62.95821381,202887200
08-04-2020,63.76150035,64.8851057,63.39505997,64.56962585,168895200
09-04-2020,65.20783748,65.54030646,64.23712167,65.03553009,161834800
13-04-2020,65.11321478,66.4212584,64.51136807,66.31204987,131022800
14-04-2020,67.95013403,69.95223619,67.47690692,69.66101837,194994800
15-04-2020,68.53257687,69.48630396,68.10303752,69.02521515,131154400
16-04-2020,69.74108801,69.94008655,68.52041301,69.57363892,157125200
17-04-2020,69.08829799,69.63675501,67.18811692,68.62963104,215250000
